,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Attend.,Attend./G,Year
0,Oklahoma City Thunder,26.0,60.0,22.0,64,18,9.21,-0.06,9.15,112.4,102.6,9.8,93.3,0.338,0.244,0.58,0.527,14.4,26.7,0.28,0.469,13.5,73.4,0.197,746323.0,18203.0,2013
1,Miami Heat,30.3,66.0,16.0,62,20,7.87,-0.84,7.03,112.3,103.7,8.6,90.7,0.297,0.285,0.588,0.552,13.7,22.2,0.224,0.487,14.8,73.0,0.2,819290.0,19983.0,2013
2,Los Angeles Clippers,28.8,56.0,26.0,59,23,6.45,-0.02,6.43,110.6,103.6,7.0,91.1,0.286,0.265,0.557,0.526,13.9,28.8,0.203,0.492,15.4,73.5,0.229,788293.0,19227.0,2013
3,San Antonio Spurs,28.6,58.0,24.0,58,24,6.4,0.27,6.67,108.3,101.6,6.7,94.2,0.258,0.264,0.568,0.531,14.0,20.5,0.204,0.48,13.7,74.9,0.179,755700.0,18432.0,2013
4,Denver Nuggets,26.1,57.0,25.0,55,27,5.09,0.28,5.37,110.4,105.1,5.3,95.1,0.308,0.217,0.549,0.515,13.6,31.4,0.216,0.493,14.3,71.8,0.193,730616.0,17820.0,2013
5,New York Knicks,30.2,54.0,28.0,53,29,4.23,-0.5,3.73,111.1,106.3,4.8,89.8,0.258,0.354,0.55,0.515,11.7,25.6,0.196,0.508,14.8,74.7,0.216,780353.0,19033.0,2013
6,Memphis Grizzlies,27.0,56.0,26.0,54,28,4.15,0.18,4.32,104.9,100.3,4.6,88.4,0.261,0.166,0.514,0.472,13.3,31.0,0.202,0.475,15.2,74.3,0.209,681613.0,16625.0,2013
7,Indiana Pacers,25.7,49.0,32.0,52,29,4.02,-0.69,3.34,104.3,99.8,4.5,90.2,0.293,0.245,0.521,0.479,14.3,30.3,0.219,0.453,12.9,74.6,0.197,626069.0,15270.0,2013
8,Houston Rockets,24.4,45.0,37.0,50,32,3.48,0.22,3.69,109.7,106.1,3.6,96.1,0.308,0.349,0.564,0.525,14.9,26.4,0.232,0.502,13.5,75.2,0.196,683564.0,16672.0,2013
9,Brooklyn Nets,28.6,49.0,33.0,46,36,1.78,-0.53,1.25,108.2,106.2,2.0,88.8,0.299,0.269,0.536,0.498,14.0,30.9,0.219,0.503,13.1,73.7,0.174,704702.0,17188.0,2013
10,Los Angeles Lakers,30.7,45.0,37.0,44,38,1.16,0.32,1.48,107.8,106.6,1.2,94.4,0.345,0.303,0.548,0.512,13.9,27.0,0.239,0.496,11.9,74.3,0.163,778877.0,18997.0,2013
11,Golden State Warriors,25.3,47.0,35.0,44,38,0.89,0.42,1.32,106.4,105.5,0.9,94.5,0.255,0.239,0.545,0.506,14.0,25.4,0.201,0.486,12.4,75.5,0.211,794320.0,19374.0,2013
12,Atlanta Hawks,27.1,44.0,38.0,42,40,0.4,-0.48,-0.08,104.8,104.4,0.4,92.6,0.244,0.286,0.546,0.517,14.2,22.2,0.174,0.496,14.2,73.6,0.181,620146.0,15126.0,2013
13,Chicago Bulls,28.0,45.0,37.0,42,40,0.32,-0.33,-0.02,103.5,103.2,0.3,89.3,0.259,0.189,0.512,0.47,13.6,29.4,0.201,0.477,13.2,73.6,0.206,896944.0,21877.0,2013
14,Utah Jazz,26.3,43.0,39.0,41,41,-0.09,0.38,0.3,106.7,106.8,-0.1,90.9,0.281,0.206,0.533,0.492,13.8,28.8,0.214,0.501,14.0,73.2,0.226,763915.0,18632.0,2013
15,Boston Celtics,29.1,41.0,40.0,40,41,-0.22,-0.4,-0.62,103.1,103.3,-0.2,91.7,0.263,0.215,0.542,0.503,14.1,20.1,0.204,0.482,14.2,73.3,0.216,744960.0,18624.0,2013
16,Dallas Mavericks,29.5,41.0,41.0,39,43,-0.6,0.36,-0.24,105.9,106.5,-0.6,94.1,0.242,0.236,0.544,0.506,13.0,21.8,0.192,0.492,13.3,73.1,0.227,821490.0,20036.0,2013
17,Milwaukee Bucks,26.4,38.0,44.0,37,45,-1.5,-0.33,-1.83,103.6,105.2,-1.6,94.7,0.236,0.232,0.51,0.476,12.7,27.9,0.174,0.492,14.4,71.3,0.201,616469.0,15036.0,2013
18,Toronto Raptors,25.4,34.0,48.0,37,45,-1.48,-0.48,-1.96,105.9,107.5,-1.6,90.4,0.274,0.249,0.532,0.488,13.0,25.5,0.216,0.5,13.6,73.4,0.247,743936.0,18145.0,2013
19,Minnesota Timberwolves,26.4,31.0,51.0,34,48,-2.37,0.54,-1.83,102.9,105.4,-2.5,92.8,0.305,0.22,0.516,0.473,13.8,27.4,0.226,0.511,15.0,74.0,0.187,669956.0,16340.0,2013
20,Washington Wizards,25.4,29.0,53.0,33,49,-2.54,-0.25,-2.78,100.2,103.0,-2.8,92.2,0.261,0.223,0.512,0.475,14.2,24.6,0.191,0.483,13.7,74.6,0.206,670070.0,16343.0,2013
21,Portland Trail Blazers,24.4,33.0,49.0,32,50,-3.17,0.65,-2.53,105.8,109.2,-3.4,91.4,0.25,0.284,0.536,0.498,13.9,25.3,0.194,0.512,12.5,73.3,0.189,813012.0,19830.0,2013
22,Philadelphia 76ers,25.2,34.0,48.0,31,51,-3.34,-0.17,-3.51,102.0,105.7,-3.7,91.0,0.2,0.209,0.509,0.481,12.5,24.9,0.146,0.495,13.7,73.4,0.2,685412.0,16717.0,2013
23,Detroit Pistons,25.3,29.0,53.0,29,53,-3.99,-0.34,-4.33,103.8,108.1,-4.3,90.8,0.282,0.217,0.521,0.487,14.3,28.3,0.197,0.505,13.1,73.0,0.209,606094.0,14685.0,2013
24,New Orleans Hornets,24.0,27.0,55.0,30,52,-3.87,0.75,-3.12,105.7,110.1,-4.4,88.5,0.248,0.224,0.528,0.489,14.0,29.2,0.193,0.52,13.1,74.4,0.208,565930.0,13803.0,2013
25,Cleveland Cavaliers,24.1,24.0,58.0,28,54,-4.68,-0.19,-4.87,104.3,109.4,-5.1,92.3,0.265,0.229,0.514,0.473,13.0,28.1,0.2,0.523,14.4,72.6,0.225,663882.0,16192.0,2013
26,Sacramento Kings,25.6,28.0,54.0,28,54,-4.88,0.62,-4.26,106.2,111.4,-5.2,93.6,0.271,0.243,0.532,0.491,13.4,26.6,0.208,0.517,13.6,71.0,0.227,563743.0,13750.0,2013
27,Phoenix Suns,26.9,25.0,57.0,23,59,-6.46,0.71,-5.75,101.2,108.1,-6.9,93.4,0.234,0.21,0.512,0.477,14.3,27.0,0.174,0.512,14.2,71.9,0.208,632913.0,15437.0,2013
28,Orlando Magic,24.6,20.0,62.0,22,60,-6.99,-0.14,-7.12,101.6,109.1,-7.5,92.2,0.197,0.223,0.514,0.485,13.7,25.4,0.149,0.508,11.8,74.6,0.195,722716.0,17627.0,2013
29,Charlotte Bobcats,24.4,21.0,61.0,17,65,-9.23,-0.06,-9.29,101.5,111.5,-10.0,91.5,0.31,0.21,0.507,0.46,13.2,25.7,0.233,0.524,13.2,71.1,0.197,628293.0,15324.0,2013
0,San Antonio Spurs,28.9,62.0,20.0,61,21,7.72,0.28,8.0,110.5,102.4,8.1,95.0,0.24,0.257,0.571,0.537,13.5,22.7,0.188,0.482,12.8,76.4,0.184,755031.0,18415.0,2014
1,Los Angeles Clippers,28.1,57.0,25.0,59,23,6.98,0.3,7.27,112.1,104.8,7.3,95.9,0.353,0.291,0.567,0.526,12.7,25.0,0.258,0.484,13.8,72.5,0.222,787692.0,19212.0,2014
2,Oklahoma City Thunder,26.2,59.0,23.0,58,24,6.34,0.32,6.66,110.5,103.9,6.6,95.4,0.303,0.271,0.566,0.52,14.0,26.5,0.244,0.488,13.9,75.6,0.221,746323.0,18203.0,2014
3,Miami Heat,30.6,54.0,28.0,54,28,4.76,-0.61,4.15,110.9,105.8,5.1,91.2,0.3,0.292,0.59,0.554,14.6,20.6,0.228,0.511,15.8,73.0,0.212,811036.0,19781.0,2014
4,Golden State Warriors,26.3,51.0,31.0,54,28,4.8,0.34,5.15,107.5,102.6,4.9,96.2,0.247,0.291,0.55,0.517,13.8,25.1,0.186,0.477,13.6,76.3,0.224,803436.0,19596.0,2014
5,Indiana Pacers,27.2,56.0,26.0,54,28,4.4,-0.77,3.63,104.1,99.3,4.8,92.5,0.29,0.235,0.535,0.49,14.3,24.9,0.226,0.46,12.9,76.8,0.197,717542.0,17501.0,2014
6,Houston Rockets,25.4,54.0,28.0,53,29,4.56,0.5,5.06,111.0,106.3,4.7,96.3,0.386,0.33,0.571,0.531,14.6,27.4,0.275,0.489,12.5,74.1,0.193,743082.0,18124.0,2014
7,Portland Trail Blazers,25.8,54.0,28.0,52,30,3.99,0.45,4.44,111.5,107.4,4.1,94.9,0.27,0.29,0.548,0.504,12.4,28.0,0.22,0.488,11.0,74.7,0.194,809612.0,19747.0,2014
8,Toronto Raptors,25.6,48.0,34.0,50,32,3.24,-0.69,2.55,108.8,105.3,3.5,91.8,0.306,0.285,0.545,0.498,13.2,27.2,0.239,0.493,14.1,74.9,0.237,748339.0,18252.0,2014
9,Phoenix Suns,26.2,48.0,34.0,48,34,2.63,0.39,3.02,109.5,106.7,2.8,95.8,0.293,0.3,0.558,0.519,14.0,26.4,0.222,0.496,13.9,73.7,0.237,650739.0,15872.0,2014
10,Minnesota Timberwolves,26.3,40.0,42.0,48,34,2.67,0.43,3.1,108.9,106.2,2.7,97.3,0.321,0.245,0.535,0.486,12.2,27.4,0.249,0.518,14.8,74.4,0.177,597157.0,14565.0,2014
11,Dallas Mavericks,30.6,49.0,33.0,48,34,2.4,0.5,2.91,111.2,108.7,2.5,93.5,0.253,0.274,0.564,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229,817982.0,19951.0,2014
12,Chicago Bulls,28.6,48.0,34.0,47,35,1.85,-0.66,1.2,102.5,100.5,2.0,90.2,0.29,0.222,0.518,0.471,14.2,27.2,0.226,0.471,13.7,75.4,0.189,890370.0,21716.0,2014
13,Memphis Grizzlies,28.5,50.0,32.0,46,36,1.57,0.61,2.18,106.3,104.6,1.7,89.9,0.248,0.171,0.529,0.494,13.1,28.3,0.184,0.497,13.8,75.7,0.199,685458.0,16718.0,2014
14,Washington Wizards,26.3,44.0,38.0,45,37,1.27,-0.79,0.48,106.0,104.6,1.4,93.2,0.248,0.246,0.538,0.506,13.6,25.2,0.181,0.504,15.0,75.7,0.22,698068.0,17026.0,2014
