,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,1.0,Denver Nuggets,6,240.0,37.2,84.8,0.438,7.0,22.5,0.311,30.2,62.3,0.484,21.7,29.7,0.73,11.8,26.8,38.7,21.2,9.0,2.8,14.5,23.2,103.0,2013
1,2.0,Golden State Warriors,12,246.3,39.0,84.4,0.462,8.7,22.3,0.388,30.3,62.1,0.489,16.0,21.8,0.736,11.5,34.6,46.1,21.7,6.4,4.9,16.5,23.8,102.7,2013
2,3.0,San Antonio Spurs,21,247.1,38.0,82.2,0.463,7.9,20.8,0.378,30.2,61.4,0.492,16.4,21.5,0.763,9.7,32.9,42.6,21.9,7.9,5.0,12.9,19.1,100.3,2013
3,4.0,Houston Rockets,6,240.0,34.3,81.0,0.424,11.7,33.7,0.347,22.7,47.3,0.479,19.7,27.7,0.711,10.8,32.7,43.5,18.0,5.8,5.5,15.8,23.2,100.0,2013
4,5.0,Brooklyn Nets,7,250.7,37.0,83.7,0.442,6.1,19.4,0.316,30.9,64.3,0.48,19.3,25.4,0.758,11.7,30.4,42.1,19.9,6.3,5.6,11.6,19.9,99.4,2013
5,6.0,Oklahoma City Thunder,11,242.3,34.8,81.6,0.427,8.6,24.7,0.349,26.2,56.9,0.46,20.2,24.1,0.838,9.8,33.1,42.9,18.1,6.0,7.0,13.6,24.9,98.5,2013
6,7.0,Miami Heat,23,242.2,35.8,76.6,0.468,7.7,20.2,0.381,28.1,56.4,0.499,17.8,23.2,0.766,9.7,28.4,38.1,20.6,8.3,5.4,13.1,22.2,97.1,2013
7,8.0,Los Angeles Clippers,6,240.0,35.2,75.3,0.467,5.8,19.2,0.304,29.3,56.2,0.522,18.5,23.7,0.782,8.8,28.3,37.2,18.0,5.2,5.7,13.3,27.8,94.7,2013
8,9.0,Memphis Grizzlies,15,245.0,34.1,81.5,0.418,4.8,14.8,0.324,29.3,66.7,0.439,21.7,29.1,0.748,11.7,30.0,41.7,19.3,7.3,4.6,10.7,22.1,94.7,2013
9,10.0,Chicago Bulls,12,246.3,35.0,79.9,0.438,5.4,17.0,0.319,29.6,62.9,0.47,16.5,22.9,0.72,11.8,29.0,40.8,19.5,6.4,4.6,14.3,22.4,91.9,2013
10,11.0,Indiana Pacers,19,241.3,32.2,74.4,0.433,6.3,19.2,0.327,25.9,55.2,0.47,21.1,28.5,0.74,12.7,32.9,45.6,17.5,5.4,4.5,16.4,22.4,91.8,2013
11,12.0,Atlanta Hawks,6,240.0,32.7,77.3,0.422,6.2,18.7,0.33,26.5,58.7,0.452,17.8,26.2,0.682,8.3,30.0,38.3,19.2,7.3,3.8,12.2,24.2,89.3,2013
12,13.0,New York Knicks,12,242.1,33.3,81.0,0.41,8.0,23.3,0.343,25.3,57.7,0.438,14.1,18.0,0.782,10.7,28.8,39.5,15.1,8.8,4.3,11.6,23.8,88.6,2013
13,14.0,Los Angeles Lakers,4,240.0,34.5,78.0,0.442,5.0,18.5,0.27,29.5,59.5,0.496,11.3,18.5,0.608,8.5,31.5,40.0,18.5,5.8,5.3,16.5,17.5,85.3,2013
14,15.0,Milwaukee Bucks,4,240.0,33.3,76.8,0.433,6.0,23.0,0.261,27.3,53.8,0.507,12.8,20.3,0.63,8.8,26.0,34.8,19.8,10.0,2.5,16.3,19.8,85.3,2013
15,16.0,Boston Celtics,6,244.2,28.5,69.0,0.413,6.8,20.7,0.331,21.7,48.3,0.448,18.5,21.5,0.86,5.2,33.8,39.0,16.8,5.5,3.0,17.3,18.8,82.3,2013
0,1.0,Houston Rockets,6,252.5,40.8,91.7,0.445,8.2,25.7,0.318,32.7,66.0,0.495,22.2,29.8,0.743,16.7,32.5,49.2,18.3,6.0,5.0,13.8,26.0,112.0,2014
1,2.0,Los Angeles Clippers,13,240.0,39.4,85.4,0.461,9.2,25.8,0.355,30.2,59.6,0.507,20.8,28.5,0.73,11.4,28.4,39.8,23.8,9.4,4.4,12.6,24.3,108.8,2014
2,3.0,Golden State Warriors,7,240.0,38.3,83.1,0.46,9.6,26.3,0.364,28.7,56.9,0.505,20.3,27.9,0.728,13.1,29.6,42.7,24.4,7.0,4.6,17.3,25.3,106.4,2014
3,4.0,San Antonio Spurs,23,241.1,39.7,80.9,0.491,8.8,21.6,0.409,30.9,59.3,0.521,18.0,23.5,0.767,9.4,32.6,42.0,22.2,8.1,3.5,12.6,19.8,106.3,2014
4,5.0,Portland Trail Blazers,11,246.8,38.4,87.7,0.437,7.9,22.8,0.347,30.5,64.9,0.469,19.6,24.6,0.797,11.7,32.5,44.2,17.5,5.9,6.0,13.8,22.5,104.3,2014
5,6.0,Oklahoma City Thunder,19,246.6,36.6,81.4,0.45,7.5,23.3,0.323,29.1,58.1,0.5,21.8,26.6,0.82,11.2,34.1,45.2,19.3,6.3,6.2,15.1,23.0,102.5,2014
6,7.0,Dallas Mavericks,7,240.0,39.1,86.7,0.451,8.4,22.4,0.376,30.7,64.3,0.478,14.4,18.9,0.765,11.7,29.0,40.7,19.1,6.6,4.1,11.4,20.3,101.1,2014
7,8.0,Miami Heat,20,240.0,35.4,72.2,0.491,9.3,23.5,0.396,26.1,48.7,0.536,17.2,22.0,0.78,6.0,28.1,34.0,18.3,7.4,3.9,12.2,20.7,97.3,2014
8,9.0,Memphis Grizzlies,7,254.3,36.7,88.1,0.417,4.4,15.3,0.29,32.3,72.9,0.443,18.9,25.9,0.729,12.9,29.9,42.7,21.7,9.0,2.4,11.1,20.9,96.7,2014
9,10.0,Toronto Raptors,7,240.0,32.7,74.1,0.441,6.6,21.0,0.313,26.1,53.1,0.492,24.1,29.0,0.833,10.1,31.6,41.7,17.7,5.6,3.0,15.3,25.9,96.1,2014
10,11.0,Brooklyn Nets,12,240.0,34.8,75.1,0.463,7.8,22.7,0.342,27.0,52.4,0.515,18.3,24.8,0.737,10.0,27.8,37.8,18.3,6.9,2.8,12.3,22.3,95.5,2014
11,12.0,Atlanta Hawks,7,240.0,30.3,78.7,0.385,11.3,32.9,0.343,19.0,45.9,0.414,20.6,24.9,0.828,9.1,30.1,39.3,16.9,6.6,4.6,13.6,20.9,92.4,2014
12,13.0,Charlotte Hornets,4,240.0,33.8,75.3,0.449,7.8,21.3,0.365,26.0,54.0,0.481,16.8,23.5,0.713,8.3,31.5,39.8,19.8,4.3,4.5,15.0,20.3,92.0,2014
13,14.0,Indiana Pacers,19,240.0,33.6,74.5,0.451,7.3,19.3,0.38,26.3,55.3,0.476,17.0,23.4,0.727,8.2,31.3,39.5,18.8,7.1,4.2,13.6,20.7,91.6,2014
14,15.0,Washington Wizards,11,242.3,34.5,79.7,0.432,5.6,16.8,0.335,28.8,62.9,0.458,15.8,22.7,0.696,11.7,33.2,44.9,19.5,7.5,5.6,12.8,22.3,90.4,2014
15,16.0,Chicago Bulls,5,245.0,33.2,78.6,0.422,6.4,19.2,0.333,26.8,59.4,0.451,17.2,22.8,0.754,12.2,29.6,41.8,20.2,5.0,4.4,13.2,22.0,90.0,2014
0,1.0,Dallas Mavericks,5,240.0,41.6,92.0,0.452,7.6,24.4,0.311,34.0,67.6,0.503,19.2,25.2,0.762,13.6,33.8,47.4,21.2,7.0,4.6,14.2,27.2,110.0,2015
1,2.0,Houston Rockets,17,240.0,37.4,83.4,0.448,9.5,27.5,0.344,27.9,55.8,0.499,24.0,36.7,0.654,10.9,34.8,45.7,21.9,8.4,5.5,15.5,23.4,108.2,2015
2,3.0,Los Angeles Clippers,14,241.8,39.5,84.8,0.466,8.4,25.4,0.329,31.1,59.4,0.525,20.4,30.6,0.667,9.6,35.0,44.6,22.5,8.6,5.9,13.1,24.8,107.8,2015
3,4.0,San Antonio Spurs,7,243.6,38.3,85.3,0.449,9.6,26.1,0.366,28.7,59.1,0.486,17.3,25.4,0.68,11.7,34.7,46.4,24.1,6.1,4.7,12.1,24.9,103.4,2015
4,5.0,Golden State Warriors,21,243.6,38.2,84.2,0.453,11.4,30.5,0.374,26.8,53.7,0.498,15.5,22.1,0.699,11.6,34.0,45.6,24.5,8.0,5.8,14.6,22.4,103.3,2015
5,6.0,Washington Wizards,10,242.5,37.3,84.5,0.441,9.4,23.3,0.403,27.9,61.2,0.456,17.1,23.7,0.722,11.6,35.6,47.2,23.1,7.1,5.3,14.5,20.0,101.1,2015
6,7.0,New Orleans Pelicans,4,246.3,38.0,84.3,0.451,6.8,21.3,0.318,31.3,63.0,0.496,18.0,22.3,0.809,10.8,31.3,42.0,23.3,7.5,5.8,13.5,23.8,100.8,2015
